; VST3 Database (Format: Manufacturer | Plugin | ControlType | ParamDown | ParamUp = Path)

[VST_DATABASE]
Arturia | Acid V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Acid V.vst3
Arturia | Analog Lab 4 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Analog Lab 4.vst3
Arturia | Analog Lab V | PARAM | 498 | 499 = C:\Program Files\Common Files\VST3\Analog Lab V.vst3
Arturia | ARP 2600 V3 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\ARP 2600 V3.vst3
Arturia | Augmented BRASS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Augmented BRASS.vst3
Arturia | Augmented GRAND PIANO | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Augmented GRAND PIANO.vst3
Arturia | Augmented MALLETS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Augmented MALLETS.vst3
Arturia | Augmented STRINGS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Augmented STRINGS.vst3
Arturia | Augmented VOICES | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Augmented VOICES.vst3
Arturia | Augmented WOODWINDS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Augmented WOODWINDS.vst3
Arturia | Augmented YANGTZE | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Augmented YANGTZE.vst3
Arturia | B-3 V2 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\B-3 V2.vst3
Arturia | Buchla Easel V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Buchla Easel V.vst3
Arturia | Clavinet V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Clavinet V.vst3
Arturia | CMI V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\CMI V.vst3
Arturia | CP-70 V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\CP-70 V.vst3
Arturia | CS-80 V4 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\CS-80 V4.vst3
Arturia | CZ V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\CZ V.vst3
Arturia | DX7 V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\DX7 V.vst3
Arturia | Emulator II V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Emulator II V.vst3
Arturia | Farfisa V | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Farfisa V.vst3
